"","titulos","anos","duracao","classificacao"
"129","Por uns Dólares a Mais","1965","2h 12m","12"
"130","Batman Begins","2005","2h 20m","10"
"131","Quanto Mais Quente Melhor","1959","2h 1m","Livre"
"132","O Lobo de Wall Street","2013","3h","18"
"133","O Garoto","1921","1h 8m","Livre"
"134","Green Book: O Guia","2018","2h 10m","12"
"135","Meu Pai","2020","1h 37m","12"
"136","Top Gun: Maverick","2022","2h 10m","12"
"137","Julgamento em Nuremberg","1961","2h 59m","Approved"
"138","A Malvada","1950","2h 18m","Livre"
"139","O Show de Truman: O Show da Vida","1998","1h 43m","12"
"140","Sangue Negro","2007","2h 38m","14"
"141","Ilha do Medo","2010","2h 18m","16"
"142","Cassino","1995","2h 58m","18"
"143","Ran","1985","2h 40m","16"
"144","Jurassic Park - O Parque dos Dinossauros","1993","2h 7m","Livre"
"145","O Sexto Sentido","1999","1h 47m","12"
"146","O Labirinto do Fauno","2006","1h 58m","16"
"147","Os Imperdoáveis","1992","2h 10m","12"
"148","Uma Mente Brilhante","2001","2h 15m","12"
"149","Onde os Fracos Não Têm Vez","2007","2h 2m","16"
"150","O Tesouro da Sierra Madre","1948","2h 6m","Livre"
"151","O Enigma de Outro Mundo","1982","1h 49m","14"
"152","Yojimbo, o Guarda-Costas","1961","1h 50m","Livre"
"153","Kill Bill: Volume 1","2003","1h 51m","18"
"154","Monty Python em Busca do Cálice Sagrado","1975","1h 31m","Livre"
"155","Fugindo do Inferno","1963","2h 52m","12"
"156","Procurando Nemo","2003","1h 40m","Livre"
"157","Rashomon","1950","1h 28m","14"
"158","O Homem Elefante","1980","2h 4m","10"
"159","O Castelo Animado","2004","1h 59m","Livre"
"160","Os Suspeitos","2013","2h 33m","16"
"161","Chinatown","1974","2h 10m","12"
"162","Disque M para Matar","1954","1h 45m","16"
"163","...E o Vento Levou","1939","3h 58m","Livre"
"164","V de Vingança","2005","2h 12m","16"
"165","Jogos, Trapaças e Dois Canos Fumegantes","1998","1h 47m","18"
"166","O Segredo dos Seus Olhos","2009","2h 9m","16"
"167","Touro Indomável","1980","2h 9m","16"
"168","Divertida Mente","2015","1h 35m","Livre"
"169","Três Anúncios para um Crime","2017","1h 55m","16"
"170","Trainspotting: Sem Limites","1996","1h 33m","18"
"171","A Ponte do Rio Kwai","1957","2h 41m","12"
"172","Homem-Aranha: Sem Volta para Casa","2021","2h 28m","12"
"173","Fargo - Uma Comédia de Erros","1996","1h 38m","18"
"174","Guerreiro","2011","2h 20m","12"
"175","Klaus","2019","1h 36m","10"
"176","Godzilla Minus One","2023","2h 4m","12"
"177","Prenda-me se for Capaz","2002","2h 21m","12"
"178","Gran Torino","2008","1h 56m","14"
"179","Meu Amigo Totoro","1988","1h 26m","Livre"
"180","Menina de Ouro","2004","2h 12m","12"
"181","Harry Potter e as Relíquias da Morte - Parte 2","2011","2h 10m","12"
"182","Filhos do Paraíso","1997","1h 29m","Livre"
"183","12 Anos de Escravidão","2013","2h 14m","14"
"184","Blade Runner: O Caçador de Androides","1982","1h 57m","14"
"185","Antes do Amanhecer","1995","1h 41m","12"
"186","O Grande Hotel Budapeste","2014","1h 39m","14"
"187","Ben-Hur","1959","3h 32m","12"
"188","Barry Lyndon","1975","3h 5m","Livre"
"189","Garota Exemplar","2014","2h 29m","14"
"190","Em Busca do Ouro","1925","1h 35m","Livre"
"191","Até o Último Homem","2016","2h 19m","16"
"192","Em Nome do Pai","1993","2h 13m","16"
"193","Memórias de um Assassino","2003","2h 11m","14"
"194","Sindicato de Ladrões","1954","1h 48m","14"
"195","Sociedade dos Poetas Mortos","1989","2h 8m","12"
"196","A General","1926","1h 18m","Livre"
"197","O Franco Atirador","1978","3h 3m","18"
"198","Relatos Selvagens","2014","2h 2m","14"
"199","Mad Max: Estrada da Fúria","2015","2h","16"
"200","Monstros S.A.","2001","1h 32m","Livre"
"201","Bancando o Águia","1924","45m","Passed"
"202","Morangos Silvestres","1957","1h 31m","10"
"203","O 3º Homem","1949","1h 44m","14"
"204","O Salário do Medo","1953","2h 11m","16"
"205","Tubarão","1975","2h 4m","14"
"206","Como Treinar o Seu Dragão","2010","1h 38m","Livre"
"207","Mary e Max - Uma Amizade Diferente","2009","1h 32m","12"
"208","A Mulher Faz o Homem","1939","2h 9m","Livre"
"209","Ford vs Ferrari","2019","2h 32m","12"
"210","Ratatouille","2007","1h 51m","Livre"
"211","O Sétimo Selo","1957","1h 36m","12"
"212","O Quarto de Jack","2015","1h 58m","14"
"213","O Grande Lebowski","1998","1h 57m","14"
"214","Era uma Vez em Tóquio","1953","2h 16m","10"
"215","Rocky - Um Lutador","1976","2h","12"
"216","Logan","2017","2h 17m","16"
"217","Spotlight - Segredos Revelados","2015","2h 9m","12"
"218","Hotel Ruanda","2004","2h 1m","14"
"219","Platoon","1986","2h","14"
"220","O Exterminador do Futuro","1984","1h 47m","14"
"221","O Martírio de Joana D'Arc","1928","1h 50m","14"
"222","Antes do Pôr do Sol","2004","1h 20m","12"
"223","Jai Bhim","2021","2h 44m","TV-MA"
"224","Os Melhores Anos de Nossa Vida","1946","2h 50m","Livre"
"225","O Ódio","1995","1h 38m","16"
"226","O Exorcista","1973","2h 2m","14"
"227","Rush: No Limite da Emoção","2013","2h 3m","14"
"228","Rede de Intrigas","1976","2h 1m","14"
"229","Piratas do Caribe: A Maldição do Pérola Negra","2003","2h 23m","14"
"230","Conta Comigo","1986","1h 29m","12"
"231","O Mágico de Oz","1939","1h 42m","Livre"
"232","Os Incríveis","2004","1h 55m","Livre"
"233","Na Natureza Selvagem","2007","2h 28m","12"
"234","Sempre ao Seu Lado","2009","1h 33m","Livre"
"235","A Criada","2016","2h 25m","18"
"236","Meu Pai e Meu Filho","2005","1h 52m","Not Rated"
"237","Ser ou Não Ser","1942","1h 39m","Livre"
"238","As Vinhas da Ira","1940","2h 9m","12"
"239","A Noviça Rebelde","1965","2h 52m","Livre"
"240","A Batalha de Argel","1966","2h 1m","14"
"241","Feitiço do Tempo","1993","1h 41m","12"
"242","Amores Brutos","2000","2h 34m","16"
"243","Rebecca, a Mulher Inesquecível","1940","2h 10m","12"
"244","Rebeldia Indomável","1967","2h 7m","14"
"245","O Gigante de Ferro","1999","1h 26m","Livre"
"246","Histórias Cruzadas","2011","2h 26m","12"
"247","Aconteceu Naquela Noite","1934","1h 45m","Livre"
"248","Os Incompreendidos","1959","1h 39m","12"
"249","Aladdin","1992","1h 30m","Livre"
"250","Dança com Lobos","1990","3h 1m","14"
